title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Giá Treo 5 Bàn Chải Đánh Răng Inox 304 Dán Tường Không Gỉ HOBBY Home Decor DK2,279272730,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Kệ nhà tắm,https://tiki.vn/product-p279272730.html?spid=279272731,52000,0.0,0,2,Hobby Home Decor,2026-04-29 13:56:09
"Set 06|08 túi bọc quần áo treo tủ chống bụi, chống côn trùng Towa Sangyo - Made in Japan",278979445,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Phụ kiện giặt ủi,https://tiki.vn/product-p278979445.html?spid=278979447,235000,0.0,0,1,Towa,2026-04-29 13:56:09
"Găng Tay Cao Su Lót Nỉ Dài 33cm – Chống Thấm Nước, Bo Chun Chống Trơn Trượt, Giữ Ấm - Găng Tay Rửa Bát, Dọn Dẹp, Bảo Vệ Tay- Hàng Loại 1-Chất Lượng Cao- Chính Hãng MINIIN",278965659,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p278965659.html?spid=278965661,27000,0.0,0,0,MINIIN,2026-04-29 13:56:09
"Thảm lau chân, chùi chân chống trơn trượt, chất liệu lông siêu thấm, Thảm nhà tắm, thảm trang trí cửa phòng màu trơn khổ 40x60cm và thảm bếp dài 40*120cm- Chính hãng MINIIN",278963657,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Phụ kiện nhà tắm,https://tiki.vn/product-p278963657.html?spid=175533945,29000,4.8,6,99,MINIIN,2026-04-29 13:56:09
"Chổi Quét Nhà Hoa Sen Châu Hưng 404, Chổi Nhựa Chắc Chắn, Độ Bền Cao, Không Thấm Nước - HÀNG CHÍNH HÃNG MINIIN",277438670,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Dụng cụ lau nhà,https://tiki.vn/product-p277438670.html?spid=277438678,57000,0.0,0,31,MINIIN,2026-04-29 13:56:09
"Găng Tay Rửa Chén Sợi Bạc Cách Nhiệt Đa Năng - Bảo Vệ Tay, Tiện Dụng Trong Nhà Bếp - HÀNG CHÍNH HÃNG MINIIN",277380599,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p277380599.html?spid=277380603,19000,0.0,0,0,MINIIN,2026-04-29 13:56:09
"Cây Gạt Nước Lau Kính Cầm Tay Deli, Gạt Chùi Kính Cầm Tay Nhỏ Gọn Vệ Sinh, Cao Su Đầu Gạt Rộng",276933949,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Dụng cụ vệ sinh,https://tiki.vn/product-p276933949.html?spid=276933951,31000,2.0,1,18,Deli,2026-04-29 13:56:09
"Thảm Chùi Chân, Lau Chân Lông Cừu Hình Hoa Quả Ngộ Nghĩnh 40x60cm- Thấm Nước Tốt - Phong Cách Vintag - Hàng Chính Hãng MINIIN",276408900,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Phụ kiện nhà tắm,https://tiki.vn/product-p276408900.html?spid=276408902,39000,0.0,0,60,MINIIN,2026-04-29 13:56:09
Giá Để Bàn Chải Điện Nặn Kem Đánh Răng Dán Tường Phòng Tắm Treo Đa Năng Siêu Dính Hamart,276343832,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Kệ nhà tắm,https://tiki.vn/product-p276343832.html?spid=276343838,99000,5.0,1,7,GUANG MING,2026-04-29 13:56:09
"Bồn Tắm Gấp Gọn Thông Minh Cải Tiến Cho Người Lớn, Trẻ Em, Bồn Tắm Thông Minh Xông hơi [Bảo hàng 2 năm]",276307203,tiki,Nhà Cửa - Đời Sống,Đồ dùng và thiết bị nhà tắm,Thiết bị phòng tắm,https://tiki.vn/product-p276307203.html?spid=276307289,1350000,0.0,0,1,Legaxi,2026-04-29 13:56:09
