title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Vòng Cẩm Thạch Tự Nhiên Mới Sịn Đậu Lý Ni 50mm x chột 7,2mmm Vòng Kiểm Định P No 185031 Màu Xanh lý đều điểm vân trắng xanh đậm nhẹ bóng đều đẹp nữ 50kg - 54kg đeo sang tay món quà tặng chính mình tặng mẹ vợ ý nghĩa ạ",279062479,tiki,Đồng hồ và Trang sức,Trang sức,Vòng tay,https://tiki.vn/product-p279062479.html?spid=279062480,5980000,0.0,0,0,OEM,2026-04-29 13:43:28
"Mặt dây chuyền đá Mã Não A Phật Bà Quan Âm size 36.8x21mm phong thái từ bi, điềm nhiên may mắn",278948476,tiki,Đồng hồ và Trang sức,Trang sức,Dây chuyền,https://tiki.vn/product-p278948476.html?spid=278949588,342000,0.0,0,0,Hoa Minh Gemstone Jewelry,2026-04-29 13:43:28
"Charm bạc Hoa Minh Gem kiểu hình trăng sao đính đá lấp lánh, mặt dây chuyền charm tòng teng xinh xắn",278943407,tiki,Đồng hồ và Trang sức,Trang sức,Dây chuyền,https://tiki.vn/product-p278943407.html?spid=278943408,178200,0.0,0,0,Hoa Minh Gemstone Jewelry,2026-04-29 13:43:28
"Vòng chuỗi 108 hạt Thạch Anh Trắng pha lê size hạt 6 li phối charm cỏ 4 lá và bướm nhỏ đính đá, ốp hoa, thạch anh vàng",278938460,tiki,Đồng hồ và Trang sức,Trang sức,Vòng tay,https://tiki.vn/product-p278938460.html?spid=278942862,899100,0.0,0,0,Hoa Minh Gemstone Jewelry,2026-04-29 13:43:28
Nhẫn đá Mã Não vàng ngả xanh cốm VIP đẹp size lớn đường kính 19mm dày nhẫn 9 li big size nhẫn nam nhẫn nữ,278905177,tiki,Đồng hồ và Trang sức,Trang sức,Nhẫn,https://tiki.vn/product-p278905177.html?spid=278907655,189000,0.0,0,0,Hoa Minh Gemstone Jewelry,2026-04-29 13:43:28
Vòng tay Ngọc Hoà Điền xanh lá cây hạt vuông size 10 li đẹp VIP,278898425,tiki,Đồng hồ và Trang sức,Trang sức,Vòng tay,https://tiki.vn/product-p278898425.html?spid=278898923,612000,0.0,0,0,Hoa Minh Gemstone Jewelry,2026-04-29 13:43:28
"Vòng đá Mắt Hổ Đỏ Nâu kiểu bánh xe loại 5A size 10 li phong thủy tài lộc phong cách đỉnh đạc vòng tay nam, vòng tay nữ",278877454,tiki,Đồng hồ và Trang sức,Trang sức,Vòng tay,https://tiki.vn/product-p278877454.html?spid=278877465,500000,0.0,0,0,Hoa Minh Gemstone Jewelry,2026-04-29 13:43:28
Dây chuyền nam titan cao cấp thời trang rẻ inox thép không gỉ kiểu bông dừa trangsucpt 4mm PTDCNA173,278536705,tiki,Đồng hồ và Trang sức,Trang sức,Dây chuyền,https://tiki.vn/product-p278536705.html?spid=278538301,50000,0.0,0,0,OEM,2026-04-29 13:43:28
Vòng Chuỗi Nữ Đá Thạch Anh Trắng Tự Nhiên trong bóng đẹp size hạt 10mm Hợp Nữ mệnh Kim mệnh Thủy đeo đẹp xinh tay tốt cho sức khỏe công việc may mắn ạ,278421015,tiki,Đồng hồ và Trang sức,Trang sức,Vòng tay,https://tiki.vn/product-p278421015.html?spid=278421016,480000,0.0,0,0,OEM,2026-04-29 13:43:28
Nhẫn Ngọc Trai FW Thiết Kế Cao Cấp UK Style (Star Mother of Pearl) - MOON Jewelry,276642310,tiki,Đồng hồ và Trang sức,Trang sức,Nhẫn,https://tiki.vn/product-p276642310.html?spid=276642312,2350000,0.0,0,0,MOON Jewelry,2026-04-29 13:43:28
Vòng cổ Phiten Rakuwa mirror ball cut Aqua Metax TG852051/TG852053/TG852151/TG852153,274499757,tiki,Đồng hồ và Trang sức,Trang sức,Dây chuyền,https://tiki.vn/product-p274499757.html?spid=274499765,4662000,0.0,0,0,Phiten,2026-04-29 13:43:28
Đôi Bông Tai Nữ Bạc 925 Olwen Đính Kim Cương Moissanite,272942685,tiki,Đồng hồ và Trang sức,Trang sức,Bông tai,https://tiki.vn/product-p272942685.html?spid=272942687,805398,0.0,0,0,Kim cương đá quý Hải Anh,2026-04-29 13:43:28
Nhẫn Đôi Bạc 925 Olwen Đính Đá Cao Cấp,272915939,tiki,Đồng hồ và Trang sức,Trang sức,Nhẫn,https://tiki.vn/product-p272915939.html?spid=272915943,477220,0.0,0,0,Kim cương đá quý Hải Anh,2026-04-29 13:43:28
Dây Chuyền Nam Danny Jewelry Bạc Thái Nguyên Chất Không Xi BI0B0011,253091866,tiki,Đồng hồ và Trang sức,Trang sức,Dây chuyền,https://tiki.vn/product-p253091866.html?spid=253091870,1400000,0.0,0,0,Danny Jewelry,2026-04-29 13:43:28
1 Đôi khuyên tai đeo tai nghe airpod phụ kiện đeo tai nghe không dây bluetooth chống rơi rớt thất lạc kẹp vành trên cá tính,199569240,tiki,Đồng hồ và Trang sức,Trang sức,Bông tai,https://tiki.vn/product-p199569240.html?spid=199569241,65000,0.0,0,0,ROSAVAN,2026-04-29 13:43:28
Vòng Chuỗi đeo Cổ hay niệm 108 hạt charm bi kiểu màu vàng Đá cẩm thạch tự nhiên Chuỗi cổ hạt size 7mm xanh ngọc dầu bóng mượt đẹp nữ đeo cổ nhẹ nhàng mát của đá tự nhiên tâm bình yên Món quà tặng Mẹ và người thân ý nghĩa và cho chính bản thân mình ạ,198857464,tiki,Đồng hồ và Trang sức,Trang sức,Dây chuyền,https://tiki.vn/product-p198857464.html?spid=198857465,980000,0.0,0,0,OEM,2026-04-29 13:43:28
Dây chuyền vòng cổ basic tua dài sexy,191452145,tiki,Đồng hồ và Trang sức,Trang sức,Dây chuyền,https://tiki.vn/product-p191452145.html?spid=191452147,98500,0.0,0,0,ROSAVAN,2026-04-29 13:43:28
Vòng Tay Đá Thạch Anh Tóc Đỏ,189618741,tiki,Đồng hồ và Trang sức,Trang sức,Vòng tay,https://tiki.vn/product-p189618741.html?spid=189618743,750000,0.0,0,2,OEM,2026-04-29 13:43:28
Bộ trang sức hoa đá xanh,174650497,tiki,Đồng hồ và Trang sức,Trang sức,Bộ trang sức,https://tiki.vn/product-p174650497.html?spid=174650498,68000,0.0,0,21,ROSAVAN,2026-04-29 13:43:28
Vòng Tay 5 đồng tiền may mắn kiểu Đá thạch anh Vàng tự nhiên dây đỏ tài lộc Nữ mệnh Kim mệnh thổ mệnh Thủy đeo xinh đẹp ạ,169749168,tiki,Đồng hồ và Trang sức,Trang sức,Vòng tay,https://tiki.vn/product-p169749168.html?spid=169749169,842400,0.0,0,0,	OEM,2026-04-29 13:43:28
Vòng đeo tay Nữ Charm Thần Tài May Mắn  Phối Kiểu 5 Đồng tiền với hạt lu xanh dây vàng kiểu khóa rút đẹp xinh  Chất liệu hạt lu đồng tiền đá cẩm thạch tự nhiên bóng đẹp xinh xắn ạ,164554219,tiki,Đồng hồ và Trang sức,Trang sức,Vòng tay,https://tiki.vn/product-p164554219.html?spid=164554220,979000,0.0,0,0,	OEM,2026-04-29 13:43:28
