title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Túi xách du lịch nam thể thao cao cấp phong cách mới,202770813,tiki,Balo và Vali,Túi du lịch và phụ kiện,Túi trống,https://tiki.vn/product-p202770813.html?spid=202770815,390000,5.0,2,15,ANANSHOP688,2026-04-29 13:44:34
Túi xách du lịch thời trang nam /nữ cao cấp phong cách mới,188481899,tiki,Balo và Vali,Túi du lịch và phụ kiện,Túi trống,https://tiki.vn/product-p188481899.html?spid=188481901,390000,4.5,23,114,ANANSHOP688,2026-04-29 13:44:34
Túi xách du lịch thời trang nam /nữ cao cấp phong cách mới,113525847,tiki,Balo và Vali,Túi du lịch và phụ kiện,Túi trống,https://tiki.vn/product-p113525847.html?spid=113525851,371000,4.0,10,42,ANANSHOP688,2026-04-29 13:44:34
"Balo du lịch nam vải canvas cao cấp Dành Cho Đi Học, Dã Ngoại, Đi Phượt, Đựng Laptop (14-17"")",93182300,tiki,Balo và Vali,Túi du lịch và phụ kiện,"Balo du lịch, phượt",https://tiki.vn/product-p93182300.html?spid=93182304,490000,4.6,10,26,ANANSHOP688,2026-04-29 13:44:34
"Ví Passport Da Bò PEBBLE Mềm Mại - Bền Bỉ, Chống Xước - Chống Nhăn Tốt, Thiết Kế Hiện Đại - Đa Năng, Đựng Được Nhiều Loại Hộ Chiếu, Nhiều Ngăn Thẻ ATM, Đựng Tiền, Vé Máy Bay, Tiện Dụng Khi Đi Du Lịch, Công Tác - Hàng Chính Hãng SAIGIO",187621731,tiki,Balo và Vali,Túi du lịch và phụ kiện,Ví passport,https://tiki.vn/product-p187621731.html?spid=186884038,1250000,5.0,8,19,SAIGIO,2026-04-29 13:44:34
Túi Bịch Chiết Đựng Mỹ Phẩm Kem Dầu Gội Xả Sữa Tắm Nhỏ Gọn Đi Du Lịch 30ml 50ml 100ml Legaxi,278868636,tiki,Balo và Vali,Túi du lịch và phụ kiện,Túi trống,https://tiki.vn/product-p278868636.html?spid=196382115,9000,0.0,0,36,Legaxi,2026-04-29 13:44:34
"Set 7 Túi Đựng Đồ Du Lịch Họa Tiết KUNBE Giúp Phân Loại Quần Áo Đồ Dùng Ngăn Nắp, Chống Thấm Nước Phù Hợp Để Vali",278859776,tiki,Balo và Vali,Túi du lịch và phụ kiện,Túi trống,https://tiki.vn/product-p278859776.html?spid=278859778,185000,0.0,0,1,KUNBE,2026-04-29 13:44:34
"Túi lưới đựng đồ trong suốt đa năng có khóa kéo tiện dụng  Túi đựng Bút Viết, Túi đựng Mỹ Phẩm, Túi đựng Đồ dùng cá nhân đi du lịch - Túi sức chứa lớn",278129454,tiki,Balo và Vali,Túi du lịch và phụ kiện,Túi trống,https://tiki.vn/product-p278129454.html?spid=278129455,100000,0.0,0,3,LuckyJQR,2026-04-29 13:44:34
"Túi Đựng Mỹ Phẩm, Đồ Trang Điểm 2 Tầng Bằng Vải Lưới Nhẹ Gọn, Dễ Giặt Vệ Sinh Tiện Dụng",277969729,tiki,Balo và Vali,Túi du lịch và phụ kiện,Túi trống,https://tiki.vn/product-p277969729.html?spid=277969760,49000,0.0,0,2,fofaHome,2026-04-29 13:44:34
"Balo cầu lông chống nước để vợt Pickleball Tennis Badminton, ba lo thể thao đựng giày dụng cụ Sport Bag 47*19*31CM phong cách siêu đẹp",277310914,tiki,Balo và Vali,Túi du lịch và phụ kiện,"Balo du lịch, phượt",https://tiki.vn/product-p277310914.html?spid=277311020,406000,5.0,3,14,Shouse,2026-04-29 13:44:34
