title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
Ví nam da bò cao cấp phong cách mới,111537503,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p111537503.html?spid=111537507,390000,3.9,39,123,ANANSHOP688,4/29/2026 13:45
Ví nam 100% da thật thông minh siêu mỏng thời trang cao cấp phong cách cá tính,253171976,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p253171976.html?spid=253171978,390000,3.8,4,17,ANANSHOP688,4/29/2026 13:45
Ví nam da bò cao cấp phong cách mới,59358594,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p59358594.html?spid=59358598,390000,4.5,22,52,ANANSHOP688,4/29/2026 13:45
"Bóp Đứng Nam Nhỏ Gọn, Chất Liệu Da Bò PULL-UP Mềm Mại, Mỏng Nhẹ, Phong Cách Hiện Đại - Cá Tính, Size Trung, Dáng Đứng - Gập 2, Nhiều Ngăn Để Tiền Và Giấy Tờ Tiện Dụng",197879894,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p197879894.html?spid=197879896,1000000,5,2,4,SAIGIO,4/29/2026 13:45
Ví nam đựng tiền đựng chìa khóa đựng thẻ đa năng 100% da bò thật cao cấp phong cách mới,244316262,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p244316262.html?spid=244316264,343000,4.5,2,23,ANANSHOP688,4/29/2026 13:45
Ví da nam gập đôi phom đứng phối màu nhiều ngăn IDIGO MW1-6033,278149966,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p278149966.html?spid=278487890,744000,0,0,0,IDIGO,4/29/2026 13:45
"Ví Đựng Card Visit, ID, CCCD, Thẻ Ngân Hàng nhỏ gọn, sang trọng",276762351,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p276762351.html?spid=53945588,82000,3.3,3,6,Trường Thịnh,4/29/2026 13:45
Ví Da Nam Cao Cấp Đựng Thẻ Tiện Lợi – Thiết Kế Nhỏ Gọn Thời Trang,276756892,tiki,Túi thời trang nam,Ví nam,Ví nam ngang,https://tiki.vn/product-p276756892.html?spid=276756893,109000,0,0,0,LYNUSAN,4/29/2026 13:45
Ví Da Nam Clutch Cầm Tay GENCE HT05 Chất Liệu Da Bò Cao Cấp Hai Màu Nâu Và Đen,152803631,tiki,Túi thời trang nam,Ví nam,Ví nam ngang,https://tiki.vn/product-p152803631.html?spid=157842229,650000,0,0,1,Gence,4/27/2026 5:20
Ví Đựng Thẻ Card Đeo Chìa Khóa Túi Xách GENCE D01 Chật Liệu Da Bò Cao Cấp,275526101,tiki,Túi thời trang nam,Ví nam,Ví nam ngang,https://tiki.vn/product-p275526101.html?spid=275526109,198000,0,0,0,Gence,4/29/2026 13:45
Ví nam MenBense đựng card - Chính hãng,274779167,tiki,Túi thời trang nam,Ví nam,Ví nam ngang,https://tiki.vn/product-p274779167.html?spid=274779168,69690,5,5,18,PaKaSa,4/29/2026 13:45
Ví nam da bò cao cấp phong cách mới,76687028,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p76687028.html?spid=76687030,398000,4.6,25,60,ANANSHOP688,4/29/2026 13:45
Ví nam da bò cao cấp phong cách mới,196881208,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p196881208.html?spid=196881212,250000,4.6,16,58,ANANSHOP688,4/29/2026 13:45
"Ví Đựng Thẻ ATM Mini, Da Bò Mềm Mại GENTLE, Da Thật 100%, Thiết Kế Hiện Đại, Nhiều Ngăn Tiện Dụng, Đựng Thẻ Ngân Hàng, Danh Thiếp, Căn Cước, Hình Lưu Niệm, Dáng Đứng - Gập 2 - Hàng Chính Hãng SAIGIO",117401394,tiki,Túi thời trang nam,Ví nam,Ví nam đứng,https://tiki.vn/product-p117401394.html?spid=146587390,650000,5,34,76,SAIGIO,4/29/2026 13:45
ví nam - ví nam cầm tay cao cấp,93712433,tiki,Túi thời trang nam,Ví nam,Ví nam ngang,https://tiki.vn/product-p93712433.html?spid=93712435,298000,4.5,18,51,ANANSHOP688,4/29/2026 13:45
Ví da EMO - Form nhỏ | Anh Tho Leather,274713068,tiki,Túi thời trang nam,Ví nam,Ví nam ngang,https://tiki.vn/product-p274713068.html?spid=274726223,450000,5,1,0,ANH THO LEATHER,4/29/2026 13:45
Ví dài VICTOR - Da bò hạt | Anh Tho leather,274713051,tiki,Túi thời trang nam,Ví nam,Ví nam ngang,https://tiki.vn/product-p274713051.html?spid=274728946,725000,0,0,0,ANH THO LEATHER,4/29/2026 13:45
Ví nam da cá sấu đan viền bụng nhiều màu HJ92254-2711-2712-2713-2715,198268824,tiki,Túi thời trang nam,Ví nam,Ví nam ngang,https://tiki.vn/product-p198268824.html?spid=198268836,1299000,5,1,2,Huy Hoàng,4/29/2026 13:45
