title,product_id,platform,category_l1,category_l2,category_l3,product_url,price,rating_score,review_count,sold_count,brand,time_stamp
"Ví Nữ Đựng Thẻ ATM Nhỏ Gọn SUPPLE, Da Đà Điểu Tự Nhiên Mềm Mại, Chống Xước - Chống Nhăn Tốt, Thiết Kế Hiện Đại, Ngăn Súp Lê Rộng, Đựng Được Nhiều Thẻ Ngân Hàng, Card Danh Thiếp, Căn Cước Công Dân, Dáng Đứng - Gập 2 - Hàng Chính Hãng SAIGIO",252185174,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p252185174.html?spid=252185176,700000,4.0,1,10,SAIGIO,2026-04-29 13:46:18
"Ví Nữ Đựng Thẻ ATM Nhỏ Gọn MULTI, Da Bò Mềm Mại, Thiết Kế Hiện Đại Với 2 Ngăn Đựng Tiền Và 6 Ngăn Đựng Thẻ Rất Tiện Dụng, Đựng Thẻ Ngân Hàng, Danh Thiếp, Căn Cước, Hình Lưu Niệm, Dáng Đứng - Gập 2 - Hàng Chính Hãng SAIGIO",252296384,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p252296384.html?spid=253421262,600000,4.1,8,20,SAIGIO,2026-04-29 13:46:18
"Ví Mini  Ngắn Đựng Tiền , Thẻ  Bỏ Túi Dễ Thương, Ví Ngắn Nam Nữ Gồm Nhiều  Ngăn Cầm Tay Thời Trang Hàn Quốc Cao",276779549,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p276779549.html?spid=276779550,79000,0.0,0,1,LYNUSAN,2026-04-29 13:46:18
"Ví Nữ Mini Đựng Thẻ ATM SLIM, Da Bò Mềm Mại PEBBLE, Kiểu Dáng Nhỏ Gọn - Tiện Dụng, Gồm 8 Ngăn Để Thẻ Và Tiền, Phong Cách Hiện Đại - Trẻ Trung – Hàng Chính Hãng SAIGIO",270658748,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p270658748.html?spid=270658750,300000,0.0,0,11,SAIGIO,2026-04-29 13:46:18
"Ví Đựng Thẻ ATM Cao Cấp Slim CITIZEN, Da Bò Tự Nhiên Cao Cấp, Da Thuộc Thảo Mộc, Nhập Khẩu Từ Châu Âu, Nhỏ Gọn - Hiện Đại - Chuyên Nghiệp, Đựng Tiền, Thẻ Ngân Hàng, Card Danh Thiếp - Hàng Chính Hãng SAIGIO",147264971,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p147264971.html?spid=147264973,2100000,0.0,0,1,SAIGIO,2026-04-29 13:46:18
Ví nữ YUUMY YV119,279188169,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p279188169.html?spid=279188171,99000,0.0,0,0,YUUMY,2026-04-29 13:46:18
"Ví bóp mini đựng căn cước, thẻ ATM, xe buýt kiểu hình nơ xinh xắn dễ thương - bóp để thẻ, nhỏ gọn dễ dàng bỏ túi",277837027,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p277837027.html?spid=277837029,7900,0.0,0,0,AlphaVH,2026-04-29 13:46:18
Ví Yuumy ( Thời trang nữ cầm tay mini - Ví da Seasand YV114 ),276676123,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p276676123.html?spid=276676133,79000,0.0,0,2,YUUMY,2026-04-29 13:46:18
Ví dài cầm tay nữ da bò thật BHM8303 Ví gập ba nữ,276557602,tiki,Túi thời trang nữ,Ví nữ,Ví dài,https://tiki.vn/product-p276557602.html?spid=16583485,450000,4.0,1,3,WESTAL ,2026-04-29 13:46:18
"Ví nữ ngắn mini cầm tay gồm nhiều ngăn  đựng tiền , thẻ  nhỏ gọn bỏ túi thời trang hàn quốc cute dễ thương",276779553,tiki,Túi thời trang nữ,Ví nữ,Ví ngắn,https://tiki.vn/product-p276779553.html?spid=276779554,79000,0.0,0,0,LYNUSAN,2026-04-29 13:46:18
